Change,Charge,Unbalanced Atoms,Rxn Eq. Before,Rxn Eq. After,Metabolite Changes,Reaction Parts Before (May be missing some),Source,Support ,Analogous Rxn,Reaction Balanced Fully?,Initial,Date,From? *mass balanced (not charge/matches model seed)
rxn13915,charge 1.0,,cpd00066_c + cpd00869_c <=> cpd00060_c + cpd17048_c,cpd00066_c + cpd00869_c <=> cpd00060_c + cpd17048_c,,L-Phenylalanine 4-methylthio 2-oxobutyrate L-Methionine 2-oxo-3-p-tolylpropanate,http://modelseed.org/biochem/reactions/rxn13915,same as modelseed and github,,,JJ,June 25,ModelPA14
rxn13916,charge 1.0,,cpd00069_c + cpd00869_c <=> cpd00060_c + cpd17079_c,cpd00069_c + cpd00869_c <=> cpd00060_c + cpd17079_c,,L-Tyrosine 4-methylthio 2-oxobutyrate L-Methionine 3-(4-hydroxyphenyl)-2-oxopropanoate,http://modelseed.org/biochem/reactions/rxn13916,same as modelseed and github,,,JJ,June 26,ModelPA14
rxn13917,charge 1.0,,cpd00053_c + cpd00869_c <=> cpd00060_c + cpd17052_c,cpd00053_c + cpd00869_c <=> cpd00060_c + cpd17052_c,,L-Glutamine 4-methylthio 2-oxobutyrate L-Methionine 4-carbamoyl-2-oxobutanate,http://modelseed.org/biochem/reactions/rxn13917,same as modelseed and github,,,JJ,June 26,ModelPA14
,,,,,,,,,,,,,
,,,,,,,,,,,,,
rAB00001,charge -1.0,H-1.0,cpd00001_c + cpd00003_c + cpd00229_c <=> cpd00004_c + cpd00067_c + cpd00139_c,,,H2O NAD Glycolaldehyde NADH H+ Glycolate,,,,,TRL,June 20,ModelPA14
rxn00001,charge -1.0,H-1.0,cpd00001_c + cpd00012_c --> 2.0 cpd00009_c + cpd00067_c,,,H2O PPi Phosphate H+,,,,,TRL,June 20,ModelPA14
rxn00695,charge -1.0,H-1.0,cpd00002_c + cpd00067_c + cpd00089_c <=> cpd00012_c + cpd00387_c,,,ATP H+ Glucose-1-phosphate PPi ADPglucose,,,,,TRL,June 20,ModelPA14
rxn00931,charge 1.0,H1.0,cpd00006_c + cpd00129_c <=> cpd00005_c + 2.0 cpd00067_c + cpd02431_c,,,NADP L-Proline NADPH H+ 1-Pyrroline-5-carboxylate,,,,,TRL,June 20,ModelPA14
rxn01816,charge 1.0,H1.0,cpd00036_c + cpd00424_c <=> cpd00084_c + cpd00822_c,,,Succinate Cystathionine L-Cysteine O-Succinyl-L-homoserine,,,,,TRL,June 21,ModelPA14
rxn02302,charge -1.0,H-1.0,cpd00084_c + cpd00790_c <=> cpd00029_c + cpd00424_c,,,L-Cysteine O-Acetyl-L-homoserine Acetate Cystathionine,,,,,TRL,June 21,ModelPA14
rxn05118,charge 1.0,H1.0,cpd00434_c <=> cpd00001_c + cpd00067_c + cpd11311_c,,,4-Aminobutanal H2O H+ 1-Pyrroline,,,,,TRL,June 20,ModelPA14
rxn12848,charge -1.0,H-1.0,cpd00001_c + cpd00002_c + cpd15603_e --> cpd00008_c + cpd00009_c + cpd15603_c,,,H2O ATP Gly-Cys ADP Phosphate Gly-Cys,,,,,TRL,June 21,ModelPA14
rxn12849,charge -1.0,H-1.0,cpd00001_c + cpd00002_c + cpd15604_e --> cpd00008_c + cpd00009_c + cpd15604_c,,,H2O ATP Gly-Leu ADP Phosphate Gly-Leu,,,,,TRL,June 21,ModelPA14
rxn12850,charge -1.0,H-1.0,cpd00001_c + cpd00002_c + cpd15605_e --> cpd00008_c + cpd00009_c + cpd15605_c,,,H2O ATP Gly-Phe ADP Phosphate Gly-Phe,,,,,TRL,June 21,ModelPA14
rxn12879,charge -1.0,H-1.0,cpd00017_c + cpd16766_c <=> cpd00019_c + cpd16764_c,,,"S-Adenosyl-L-methionine 2-nonaprenyl-6-methoxy-1,4-benzoquinol S-Adenosyl-homocysteine 2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol",,,,,TRL,June 25,ModelPA14
rxn12892,charge -1.0,H-1.0,cpd00017_c + cpd16765_c <=> cpd00019_c + cpd16767_c,,,S-Adenosyl-L-methionine 2-nonaprenyl-6-hydroxyphenol S-Adenosyl-homocysteine 2-nonaprenyl-6-methoxyphenol,,,,,TRL,June 25,ModelPA14
rxn13785,charge 0.49,C-18.53 H-34.82 O-3.92 P-0.49 R0.02,0.5 cpd00080_c + 0.13 cpd15239_c + 0.03 cpd15268_c + 0.33 cpd15277_c + 0.51 cpd15572_c <=> 0.01 cpd11422_c + cpd11493_c,,,"Glycerol-3-phosphate Hexadecenoyl-ACP Octadecanoyl-ACP Palmitoyl-ACP trans-octadec-2-enoyl-[acyl-carrier protein] 1,2-diacyl-sn-glycerol 3-phosphate ACP",,,,,TRL,,ModelPA14
rxn13788,charge -1.0,H-1.0,2.0 cpd00001_c + cpd00003_c + cpd11311_c <=> cpd00004_c + cpd00067_c + cpd00281_c,,,H2O NAD 1-Pyrroline NADH H+ GABA,,,,,TRL,June20,ModelPA14
rxn13812',charge -1.0,H-1.0,cpd00015_c + cpd00041_c + cpd00095_c --> 2.0 cpd00001_c + cpd00009_c + cpd00067_c + cpd00982_c + cpd02333_c,3.0 cpd00004_c + 4.0 cpd00067_c + cpd00075_c <=> cpd00001_c + 3.0 cpd00003_c + cpd00985_c,,FAD L-Aspartate Glycerone-phosphate H2O Phosphate H+ FADH2 Quinolinate,http://solcyc.solgenomics.net/META/NEW-IMAGE?type=REACTION&object=QUINOLINATE-SYNTHE-MULTI-RXN,,,,TRL,June 19,ModelPA14
rxn13825,charge 1.0,H1.0,cpd00007_c + cpd01155_c --> cpd00013_c + cpd00025_c + cpd00067_c + cpd03691_c,,,O2 Cadaverine NH3 H2O2 H+ Piperideine,,,,,TRL,June 20,ModelPA14
rxn13828,charge 1.0,H1.0,cpd00002_c + cpd00010_c + cpd03847_e --> cpd00012_c + cpd00018_c + cpd01695_c,,,ATP CoA Myristic acid PPi AMP Myristoyl-CoA,,,,,TRL,June 20,ModelPA14
rxn13829,charge 1.0,H1.0,cpd00002_c + cpd00010_c + cpd00214_e --> cpd00012_c + cpd00018_c + cpd00134_c,,,ATP CoA Palmitate PPi AMP Palmitoyl-CoA,,,,,TRL,June 20,ModelPA14
rxn13839,,H-2.0,cpd00001_c + cpd00002_c + cpd00004_c + cpd00149_c + cpd03913_c <=> cpd00003_c + cpd00008_c + cpd00009_c + cpd00067_c + cpd03914_c,,,H2O ATP NADH Co2+ Hydrogenobyrinate diamide NAD ADP Phosphate H+ Cob(II)yrinate diamide,,,,,TRL,June 20,ModelPA14*
rxn13843,charge -1.0,C11.0 H20.0 O7.0 X-1.0 N2.0 P1.0 R1.0 S1.0,cpd17051_c <=> cpd00001_c + cpd15572_c,,,(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein] H2O trans-octadec-2-enoyl-[acyl-carrier protein],https://biocyc.org/SYNEL/NEW-IMAGE?type=REACTION&object=3-HYDROXYDECANOYL-ACP-DEHYDR-RXN&detail-level=%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%203,,,,TRL,June 21,ModelPA14
rxn13871,charge -1.0,H-1.0,cpd00035_c + cpd00146_c + cpd17064_c --> cpd00001_c + cpd00009_c + cpd17065_c,,,L-Alanine Carbamoylphosphate PA_core7_lipidA H2O Phosphate Pseudomonas aeruginosa LPS core + KDO2-lipidA,,,,,TRL,June 21,ModelPA14
rxn13874,charge -1.0,H1.0,cpd17069_c + cpd17070_c <=> cpd00014_c + cpd00067_c + cpd17067_c,,,"Pseudomonas aeruginosa Lipid X UDP-2-NH-(3OH-C12:0),3-O-(3OH-C10:0)glucosamine UDP H+ Pseudomonas Lipid A Disaccharide",,,,,TRL,,ModelPA14
rxn13877,charge -2.0,H1.0,cpd17065_c + cpd17100_c <=> cpd02229_c + cpd17057_c,,,"Pseudomonas aeruginosa LPS core + KDO2-lipidA Man(2NAc3N)(3,-CH3C=NH)A-(beta1,4)-Man(2NAc3NAc)A-(beta1,3)-Fuc2NAc-PP-Undecaprenyl Bactoprenyl diphosphate Pseudomonas aeruginosa B-band lipopolysaccharide",,,,,TRL,June 21,ModelPA14
rxn13884,charge 1.0,H1.0,cpd00001_c + cpd17070_c <=> 2.0 cpd00067_c + cpd00091_c + cpd17069_c,,,"H2O UDP-2-NH-(3OH-C12:0),3-O-(3OH-C10:0)glucosamine H+ UMP Pseudomonas aeruginosa Lipid X",,,,,TRL,June 20,ModelPA14
rxn13890,charge 1.0,H1.0,cpd00001_c + cpd00002_c + cpd00053_c + cpd17083_c <=> cpd00012_c + cpd00018_c + cpd00023_c + 2.0 cpd00067_c + cpd17084_c,,,H2O ATP L-Glutamine phenazine-1-carboxylic acid PPi AMP L-Glutamate H+ phenazine-1-carboxamide,,,,,TRL,June 20,ModelPA14
rxn13895,charge 1.0,H1.0,cpd00001_c + cpd00015_c + cpd00129_c <=> cpd00858_c + cpd00982_c,,,H2O FAD L-Proline L-Glutamate5-semialdehyde FADH2,,,,,TRL,June 20,ModelPA14
rxn13896,,H1.0,cpd00004_c + cpd00007_c + cpd00067_c + cpd17053_c <=> cpd00001_c + cpd00003_c + cpd00011_c + cpd01206_c,,,NADH O2 H+ 5-methylphenazine-1-carboxylic acid betaine H2O NAD CO2 pyocyanin,,,,,TRL,June 20,ModelPA14*
rxn13899,charge 3.0,H3.0,cpd00946_c + cpd01999_c --> cpd00091_c + cpd17086_c,,,Undecaprenyl diphospho N-acetyl-glucosamine GDP-D-rhamnose UMP rha1glcnacppund,,,,,TRL,June 25,ModelPA14
rxn13903,charge -1.0,H1.0,cpd00067_c + cpd00522_c + cpd17050_c <=> cpd00297_c + cpd17081_c,,,H+ dTDP-4-oxo-L-rhamnose 3-hydroxydecanoyl-3-hydroxydecanoate dTDP L-rhamnosyl-3-hydroxydecanoyl-3-hydroxydecanoate,,,,,TRL,June 25,ModelPA14
rxn13921,charge -1.0,H-1.0,2.0 cpd00001_c + cpd03691_c <=> cpd17076_c,,,H2O Piperideine delta-aminovalerate,,,,,TRL,June 20,ModelPA14
rxn13922,charge -1.0,H1.0,cpd17093_c + cpd17098_c <=> cpd00091_c + cpd17099_c,,,"UDP-N-acetyl-D-mannosamine (2NAc(CH3C=NH)) acid Fuc2NAc-PP-Undecaprenyl UMP Man(2NAc3NAc)A-(beta1,3)-Fuc2NAc-PP-Undecaprenyl",,,,,TRL,June 25,ModelPA14
rxn13923,charge -1.0,H1.0,cpd17095_c + cpd17099_c <=> cpd00091_c + cpd17100_c,,,"UDP-N-acetyl-D-manosamine (2NAc3NAc) acid Man(2NAc3NAc)A-(beta1,3)-Fuc2NAc-PP-Undecaprenyl UMP Man(2NAc3N)(3,-CH3C=NH)A-(beta1,4)-Man(2NAc3NAc)A-(beta1,3)-Fuc2NAc-PP-Undecaprenyl",,,,,TRL,June 25,ModelPA14
